8183000 "gravity"
0"air resistance"

8183000 "gravity"
0"air resistance"

8183000 "gravity"
0"air resistance"

8183000 "gravity"
-234090"air resistance"

8183000 "gravity"
-10240"air resistance"

8183000 "gravity"
-338560"air resistance"

8183000 "gravity"
-34810"air resistance"

8183000 "gravity"
-441000"air resistance"

8183000 "gravity"
-77440"air resistance"

8183000 "gravity"
-561690"air resistance"

8183000 "gravity"
-132250"air resistance"

8183000 "gravity"
-686440"air resistance"

8183000 "gravity"
-201640"air resistance"

8183000 "gravity"
-823690"air resistance"

8183000 "gravity"
-278890"air resistance"

8183000 "gravity"
-961000"air resistance"

8183000 "gravity"
-372490"air resistance"

8183000 "gravity"
-1115560"air resistance"

8183000 "gravity"
-479610"air resistance"

8183000 "gravity"
-1281640"air resistance"

8183000 "gravity"
-600250"air resistance"

8183000 "gravity"
-1451610"air resistance"

8183000 "gravity"
-729000"air resistance"

8183000 "gravity"
-1624090"air resistance"

8183000 "gravity"
-870250"air resistance"

8183000 "gravity"
-1814760"air resistance"

8183000 "gravity"
-1017610"air resistance"

8183000 "gravity"
-1998090"air resistance"

8183000 "gravity"
-1176490"air resistance"

8183000 "gravity"
-2190240"air resistance"

8183000 "gravity"
-1339560"air resistance"

8183000 "gravity"
-2381440"air resistance"

8183000 "gravity"
-1513210"air resistance"

8183000 "gravity"
-2570490"air resistance"

8183000 "gravity"
-1689210"air resistance"

8183000 "gravity"
-2766760"air resistance"

8183000 "gravity"
-1874890"air resistance"

8183000 "gravity"
-2959360"air resistance"

8183000 "gravity"
-2061160"air resistance"

8183000 "gravity"
-3147210"air resistance"

8183000 "gravity"
-2246760"air resistance"

8183000 "gravity"
-3329290"air resistance"

8183000 "gravity"
-2440360"air resistance"

8183000 "gravity"
-3516490"air resistance"

8183000 "gravity"
-2631690"air resistance"

8183000 "gravity"
-3696640"air resistance"

8183000 "gravity"
-2819610"air resistance"

8183000 "gravity"
-3881290"air resistance"

8183000 "gravity"
-3014010"air resistance"

8183000 "gravity"
-4070440"air resistance"

8183000 "gravity"
-3203560"air resistance"

8183000 "gravity"
-4238010"air resistance"

8183000 "gravity"
-3387240"air resistance"

8183000 "gravity"
-4395690"air resistance"

8183000 "gravity"
-3576040"air resistance"

8183000 "gravity"
-4556250"air resistance"

8183000 "gravity"
-3757690"air resistance"

8183000 "gravity"
-4719690"air resistance"

8183000 "gravity"
-3943840"air resistance"

8183000 "gravity"
-4872040"air resistance"

8183000 "gravity"
-4121640"air resistance"

8183000 "gravity"
-5026810"air resistance"

8183000 "gravity"
-4290250"air resistance"

8183000 "gravity"
-5169610"air resistance"

8183000 "gravity"
-4462240"air resistance"

8183000 "gravity"
-5314410"air resistance"

8183000 "gravity"
-4624000"air resistance"

8183000 "gravity"
-5446440"air resistance"

8183000 "gravity"
-4788640"air resistance"

8183000 "gravity"
-5580090"air resistance"

8183000 "gravity"
-4942090"air resistance"

8183000 "gravity"
-5700250"air resistance"

8183000 "gravity"
-5097960"air resistance"

8183000 "gravity"
-5821690"air resistance"

8183000 "gravity"
-5227290"air resistance"

8183000 "gravity"
-5944410"air resistance"

8183000 "gravity"
-5372890"air resistance"

8183000 "gravity"
-6052840"air resistance"

8183000 "gravity"
-5505640"air resistance"

8183000 "gravity"
-6162250"air resistance"

8183000 "gravity"
-5640010"air resistance"

8183000 "gravity"
-6256810"air resistance"

8183000 "gravity"
-5760810"air resistance"

8183000 "gravity"
-6352090"air resistance"

8183000 "gravity"
-5882890"air resistance"

8183000 "gravity"
-6448090"air resistance"

8183000 "gravity"
-5990760"air resistance"

8183000 "gravity"
-6528640"air resistance"

8183000 "gravity"
-6099610"air resistance"

8183000 "gravity"
-6609690"air resistance"

8183000 "gravity"
-6209440"air resistance"

8183000 "gravity"
-6691240"air resistance"

8183000 "gravity"
-6304360"air resistance"

8183000 "gravity"
-6773290"air resistance"

8183000 "gravity"
-6400000"air resistance"

8183000 "gravity"
-6839290"air resistance"

8183000 "gravity"
-6496360"air resistance"

8183000 "gravity"
-6905610"air resistance"

8183000 "gravity"
-6577210"air resistance"

8183000 "gravity"
-6972250"air resistance"

8183000 "gravity"
-6658560"air resistance"

8183000 "gravity"
-7039210"air resistance"

8183000 "gravity"
-6740410"air resistance"

8183000 "gravity"
-7089640"air resistance"

8183000 "gravity"
-6806250"air resistance"

8183000 "gravity"
-7140250"air resistance"

8183000 "gravity"
-6872410"air resistance"

8183000 "gravity"
-7191040"air resistance"

8183000 "gravity"
-6938890"air resistance"

8183000 "gravity"
-7242010"air resistance"

8183000 "gravity"
-6988960"air resistance"

8183000 "gravity"
-7293160"air resistance"

8183000 "gravity"
-7056000"air resistance"

8183000 "gravity"
-7344490"air resistance"

8183000 "gravity"
-7106490"air resistance"

8183000 "gravity"
-7396000"air resistance"

8183000 "gravity"
-7157160"air resistance"

8183000 "gravity"
-7430440"air resistance"

8183000 "gravity"
-7208010"air resistance"

8183000 "gravity"
-7464960"air resistance"

8183000 "gravity"
-7259040"air resistance"

8183000 "gravity"
-7499560"air resistance"

8183000 "gravity"
-7310250"air resistance"

8183000 "gravity"
-7534240"air resistance"

8183000 "gravity"
-7344490"air resistance"

8183000 "gravity"
-7569000"air resistance"

